time_s,request,aux_v,input_v,aux_good,power_enable,pvdd_v,audio_run,efuse_latched
3.47,1,12,48,1,1,48,0,0
3.48,1,12,48,1,1,48,0,0
3.49,1,12,48,1,1,48,0,0
3.5,1,12,48,1,1,48,0,0
3.51,1,12,48,1,1,48,0,0
3.52,1,12,48,1,1,48,0,0
3.53,1,12,48,1,1,48,0,0
3.54,1,12,48,1,1,48,0,0
3.55,1,12,48,1,1,48,0,0
3.56,1,12,48,1,1,48,0,0
3.57,1,12,48,1,1,48,0,0
3.58,1,12,48,1,1,48,0,0
3.59,1,12,48,1,1,48,0,0
3.6,1,12,48,1,1,48,0,0
3.61,1,12,48,1,1,48,0,0
3.62,1,12,48,1,1,48,0,0
3.63,1,12,48,1,1,48,0,0
3.64,1,12,48,1,1,48,0,0
3.65,1,12,48,1,1,48,0,0
3.66,1,12,48,1,1,48,0,0
3.67,1,12,48,1,1,48,0,0
3.68,1,12,48,1,1,48,0,0
3.69,1,12,48,1,1,48,0,0
3.7,1,12,48,1,1,48,0,0
3.71,1,12,48,1,1,48,0,0
3.72,1,12,48,1,1,48,0,0
3.73,1,12,48,1,1,48,0,0
3.74,1,12,48,1,1,48,0,0
3.75,1,12,48,1,1,48,0,0
3.76,1,12,48,1,1,48,0,0
3.77,1,12,48,1,1,48,0,0
3.78,1,12,48,1,1,48,0,0
3.79,1,12,48,1,1,48,0,0
3.8,1,12,48,1,1,48,0,0
3.81,1,12,48,1,1,48,0,0
3.82,1,12,48,1,1,48,0,0
3.83,1,12,48,1,1,48,0,0
3.84,1,12,48,1,1,48,0,0
3.85,1,12,48,1,1,48,0,0
3.86,1,12,48,1,1,48,0,0
3.87,1,12,48,1,1,48,0,0
3.88,1,12,48,1,1,48,0,0
3.89,1,12,48,1,1,48,0,0
3.9,1,12,48,1,1,48,0,0
3.91,1,12,48,1,1,48,0,0
3.92,1,12,48,1,1,48,0,0
3.93,1,12,48,1,1,48,0,0
3.94,1,12,48,1,1,48,0,0
3.95,1,12,48,1,1,48,0,0
3.96,1,12,48,1,1,48,0,0
3.97,1,12,48,1,1,48,0,0
3.98,1,12,48,1,1,48,0,0
3.99,1,12,48,1,1,48,0,0
4.0,1,12,48,1,1,48,0,0
4.01,1,12,48,1,1,48,0,0
4.02,1,12,48,1,1,48,0,0
4.03,1,12,48,1,1,48,0,0
4.04,1,12,48,1,1,48,0,0
4.05,1,12,48,1,1,48,0,0
4.06,1,12,48,1,1,48,0,0
4.07,1,12,48,1,1,48,0,0
4.08,1,12,48,1,1,48,0,0
4.09,1,12,48,1,1,48,0,0
4.1,1,12,48,1,1,48,0,0
4.11,1,12,48,1,1,48,0,0
4.12,1,12,48,1,1,48,0,0
4.13,1,12,48,1,1,48,0,0
